restaurant-service-1  | INFO:     Started server process [1]
restaurant-service-1  | INFO:     Waiting for application startup.
restaurant-service-1  | INFO:     Application startup complete.
restaurant-service-1  | INFO:     Uvicorn running on http://0.0.0.0:80 (Press CTRL+C to quit)
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.1:48288 - "GET /v1/restaurants HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.1:37888 - "GET /v1/restaurants/1/menu HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.1:41720 - "GET /v1/restaurants?city=Bengaluru HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:51366 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:47682 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:47682 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
restaurant-service-1  | INFO:     172.19.0.7:43942 - "GET /metrics HTTP/1.1" 200 OK
